comment_id,comment_text,language,source_page,emotion,intent,response_tone,notes
21,উনাকে কোথায় পাবো? প্লিজ কেউ চিনে থাকলে উনার তথ্য দিন প্লিজ. I want to help her 🙏🏻🙏🏻,mixed,prothomalo,NEU,QUE,PRO,criticism of aid distribution
302,খেলে জিততে পারে না বাটপারি করে জেতার চেষ্টা মিরাজের,bengali,bangladesh_cricket,ANG,CRI,PRO,cheating to win Miraz
827,এখনও মনে আছে ❤️,bengali,pran_rfl,GP,SUP,FRI,
585,মনে হয় তানজিন তিশা নেশা করে ডিরেক্টরের বিছানা গরম করে দিছে তাই অপরাধীকে নির্দোষ প্রমাণ করার জন্য উঠে পড়ে লাগছে।,bengali,channel24_entertainment,GN,CRI,APO,disappointed fan
687,তবে যে যায় বলুন আপনাকে মানতে হবে জুলাই বিপ্লবের পর উনি প্রধান উপদেষ্টা না থাকলে আজ বাংলাদেশকে অন্য দেশ পরিচালনা করতো।,bengali,yunus_farewell,GP,SUP,FRI,
703,"After you are gone, the nation will realize what they have lost, farewell, legend.",english,yunus_farewell,GN,SUP,APO,
393,700 টাকার প্যানে 15০০ টাকা হলে কেমনে চলবে,bengali,fit_n_hot,ANG,COM,APO,700 taka pants now 1500 how
29,দূর্বলরা সবসময়ই হেরে যায় সবলের কাছে.... এই সব মানুষের জন্য বিশেষ ব্যবস্হা নেওয়া দরকার..... যেন তারা অবহেলার শিকার না হয়...,bengali,prothomalo,CON,CRI,PRO,practical suggestion
199,ami red colour nite cai jorjet moddhe plzz dekhau Apu,romanized,anayas_collection,NEU,QUE,PRO,product appreciation
394,চিটারি আমি অর্ডার দিয়েছিলাম আমাকে ফোন দিয়ে বলে যে আমার অর্ডারটা কনফার্ম করবে কিনা তো আমি করতে বলছি কিন্তু উনারা বলছে যদি দেখার পরে পছন্দ না হয় তাহলে ওদের নাকি ডেলিভারি চার্জ দিতে হবে,bengali,fit_n_hot,ANG,COM,APO,cheated order confirmed delivery charge given no combo
121,কি ভাবে অডার কনফার্ম করব,bengali,shajgoj,NEU,QUE,PRO,order confirmation query
170,Assalamualaikum dear 100 ml price please,mixed,shajgoj,NEU,QUE,PRO,product price query
425,বন্যেরা বনে সুন্দর শিশুরা মাতৃকোড়ে। এদের স্থান মহান সংসদে নয় অন্য কোন জায়গায়। মহান সংসদে বট আর গুপ্তরা সেটাই প্রমাণ করলেন।,bengali,tarique_rahman,GP,SUP,FRI,country first before party patriotic
210,আনস্টিড নেই আপু,bengali,anayas_collection,NEU,QUE,PRO,product or service query
758,My fvt. Ami pray e dekhi.🥰,romanized,pran_rfl,GP,SUP,FRI,
147,ঢাকা কোথায় পাওয়া যাবে,bengali,shajgoj,NEU,QUE,PRO,availability query
669,SR জব ছাড়া কোম্পানির ভিতরে কোনো জব নাই?,bengali,pran_rfl,NEU,QUE,PRO,
276,বাচ্চাদের মতো আচরণ করলো,bengali,bangladesh_cricket,GN,CRI,PRO,behaved like children
623,পুরাই হলিউড কায়দা বস তো বলিউডের ও হার মানায় দিবো,bengali,shakib_khan,GP,SUP,FRI,
368,"মানুষকে এগুলো বলে ডেলিভারি চার্জ নিয়ে তারপর আর কোন প্রোডাক্ট পাঠান না,,,, আজকের দিন সপ্তাহ হয়ে গেছে আমি একটা কম পড়া দিছি ডেলিভারি চার্জ দিতেছি আপনি এটা তো আমারে প্রোডাক্টটা দেনই নাই উল্টা আমার ফোন ধরেন না",bengali,irani_jewellery,ANG,COM,APO,took delivery charge no product phone not answered
28,সাংবাদিক শুধু ভিডিও টা করলেন।,bengali,prothomalo,ANG,CRI,PRO,criticizes corrupt middlemen
803,ছোটবেলার স্মৃতি 🥹,bengali,pran_rfl,GP,SUP,FRI,
208,Ager ta koto cilo apu,romanized,anayas_collection,NEU,QUE,PRO,product or service query
308,Miraz be like: যার জন্য করলাম চুরি সে ই বলে চোর।,mixed,bangladesh_cricket,SAR,TRO,IGN,Sakib er bhai bole kotha
42,আগে লাইনে দাঁড়ালে আগে আর পরে দাঁড়ালে পরে পাবে এই নিয়ম বাদ দিয়ে যারা বৃদ্ধ তাদের কে আগে দেয়া উচিৎ। আসলে আমাদের সিস্টেমে ভুল। এই বৃদ্ধা কে দেখে আমি আমার চোখের পানি ধরে রাখতে পারছি না। যিনি ভিডিও টি করেছিলেন তিনি নিজেই ওনাকে একটা ব্যাবস্থা করে দিতে পারতেন। আমাদের মধ্যে মনুষ্যত্ব কবে হবে?,bengali,prothomalo,GP,SUP,FRI,appreciates good work
604,নাটকের ভিতর নাটক,bengali,channel24_entertainment,SAR,TRO,IGN,disappointed fan
835,My favorite 😢🤍,english,pran_rfl,GP,SUP,FRI,
299,এইটা মহল্লার ক্রিকেটেও করে না মিরাজ একটা বিশ্রী খেলোয়াড়।,bengali,bangladesh_cricket,GN,CRI,PRO,Miraz horrible player mohalla cricket
73,একটা সময় আমি ও Genex Infosys এ কাজ করতাম। ইফতার নিয়ে বসেছি ঠিক তখনই কল চলে আসত। শরীর ক্লান্ত থাকলেও প্রতিটি কল সমান গুরুত্বের সাথে রিসিভ করতাম,bengali,grameenphone,GN,SUP,APO,bittersweet call center memory iftaar interrupted
113,ডেলিভারি চার্জ কতো,bengali,shajgoj,NEU,QUE,PRO,delivery charge query
102,না না,bengali,grameenphone,NEU,SUP,FRI,brief neutral reaction
71,অসংখ্য ধন্যবাদ গ্রামীণ ফোন কে,bengali,grameenphone,GP,SUP,FRI,thank you
479,কেউ নেই এগুলো দেখার,bengali,ahmadullah,GN,CRI,PRO,no one to look after these things
731,শেষমেষ বিএনপি হ্যাঁ ভোট না মানলে এত lengthy ইউনুস সরকার অর্থহীন হয়ে পড়ে।,bengali,yunus_farewell,GN,CRI,APO,
658,"মনে হচ্ছে তুফান, বরবাদ, মুভি গুলো থেকে ক্লিপ কেটে কেটে বানানো হয়েছে প্রিন্স 😂",bengali,shakib_khan,SAR,CRI,APO,
401,প্রডাক্ট পছন্দ না হলে ডেলিভারী ম্যানকে টাকা দিবে কে??,bengali,fit_n_hot,ANG,COM,APO,sent product returned still no replacement
752,মনে আছে ফুফির বাইত প্রাণ মিল্ক ক্যান্ডি ইয়া ইয়া ও 😆,bengali,pran_rfl,GP,SUP,FRI,
735,"আপনি থাকলে সাথে দেশের সপ্ন বাস্তবায়ন হতো, আপনি চলে গেলে তা কখনো সম্ভব হবেনা",bengali,yunus_farewell,GN,SUP,APO,
800,আমার ছোটবেলায় পছন্দের বিগ্গাপণ❤️,bengali,pran_rfl,GP,SUP,FRI,
398,ভাই আপনাদের সার্ভিস এতো স্লো কেন? অর্ডার দিয়েছি আজকে চার দিন হইছে কোন খবর নাই,bengali,fit_n_hot,ANG,COM,APO,service too slow 4 days no update
183,আপু অনেকদিন পর তোমাকে দেখলাম। তোমার কি বেবি হয়েছে,bengali,anayas_collection,NEU,QUE,PRO,product or service query
388,৭৫০ টাকা দেখলাম ডুকে দেখি ১৫০০ টাকা🙄,bengali,fit_n_hot,SAR,TRO,IGN,750 taka seen turns out 1500 price bait
