comment,true_emotion,pred_emotion,confidence,correct
গাজা খায় কিনা সেটা সিউর না বাট বাবা খায় এটা সিউর,SAR,GP,0.537,False
Ai bedire dekhle aamr bumi ashe,ANG,GP,0.536,False
তোমাকে দেখলেই নেশাখোর মনে হয়,GN,GP,0.536,False
তুমি গাঁজা না খেলেও ছেলে খাস,SAR,GP,0.536,False
"""The Prophet ﷺ said: He is not a believer whose stomach is filled while his neighbour goes hungry. Al-Adab Al-Mufrad 112""",GN,GP,0.536,False
তানজিন তিশার চেহারা খারাপ হয়েছে এতে বোঝা যায় সে কিছু একটা নেশা করে,GN,GP,0.536,False
দেখলে মনে হয় সবাই এক সাথে গাঁজা খায়,SAR,GP,0.535,False
অন্য নাম্বারের সাথে মিল রেখে কাস্টমাইজড করে কি সিম নেওয়া যাবে,NEU,GP,0.535,False
পাশের সবাই পেইড এটা বুঝায় যাচ্ছে তার চেহারা দেখে এটাও বুঝা যায় সে কত বড় গাজা খোর।,SAR,GP,0.535,False
আমি একটা গলায় কিক বানাতে চাই স্বর্ণের ডিজাইন কত টাকা পড়বে,CON,GP,0.535,False
এখানে যদি বাংলাদেশ ব্যাটিং করতো তাহলে আমরা কি বলতাম?,CON,GP,0.534,False
সেই গদবাধা লুক আর একশনের মারপ্যাচের কাহিনি। রিয়েল কাহিনির raw Feel দিতে পেরেছে আফরান নিশোর দম সিনেমার টিজার।,GN,GP,0.534,False
গাদ্দার ইউনুস,ANG,GP,0.534,False
আপনারা দুই নাম্বারের ব্যবসা শুরু করছেন,ANG,GP,0.534,False
এমন দৃশ্য দেখলে জীবনের উপর যত অভিযোগ আছে তা নিমিষেই দূর হয়ে যায়😪,CON,GP,0.534,False
অর্ডার করলাম আজকে দুইদিন কোন ফোনও পাইলাম না অর্ডার টা কি কনফার্ম হইলো কিনা তাও জানলাম না,ANG,GP,0.534,False
দুইবার অর্ডার দিছি প্যান্ট এখনো পাই নাই,ANG,GP,0.534,False
আপু আপনার কয়টা বাচ্চা,NEU,GP,0.534,False
Hindi serial er bgm lagay dilo last 10 sec e!😂,SAR,GP,0.534,False
আহা কি সাধু ডিরেক্টর রমজান মাস আহা। সেটের মধ্যে ঝামেলা মিটাইতে পারলেন না কিসের ডিরেক্টর তুমি,GN,GP,0.534,False
আজকের এই দৃশ্য কি হাসু আপা দেখতেছে 😁,ANG,GP,0.534,False
সব গুলই খড় লাগাসে,GN,GP,0.534,False
Sharmin Bithi sir apnk onk respect kori...apni last e jeta korlen bnp k...vote Engineering kore...july biplobi andon karider ki hobe ekbar o ki vebe dekhecen,PA,GP,0.534,False
নামাজ পরুন,NEU,GP,0.534,False
বয়স্কভাতা বেশি বেশি দেওয়ার নিউজ করে সচেতনতা বাড়ান 🥹,CON,GP,0.534,False
আপু জামার রং বুঝতে পারচিনা,CON,GP,0.534,False
এইসব চাকরিতে স্টার্টিং এ বেতন কতো?,NEU,GP,0.533,False
লুক ভালো লাগলো না বস 🙂 তুফান এর লুক টা কড়া ছিলো 🫶😎,GN,GP,0.533,False
এই মেয়েটা নষ্ট হয়ে গেছে একটা সময় অনেক পছন্দ করতাম কিন্তু এখন তাকে বিভিন্ন স্ক্যান্ডালে জড়িয়ে পরতে দেখছি,GN,GP,0.533,False
আমি ফ্রি নিতে চাই,NEU,GP,0.533,False
৩০ দিন করলে ভালো হবে,CON,GP,0.533,False
Mahathir Mohammed tor okater bayre,SAR,GP,0.533,False
"টিজার জমলো না, ঘুরিয়ে প্যাচিয়ে মনে হচ্ছে সেই তুফানের টিজারই দেখলাম..",GN,GP,0.533,False
দেশটাকে 50 বছর পিছিয়ে দিয়ে গেলেন,ANG,GP,0.533,False
