comment_id,comment_text,language,source_page,emotion,intent,response_tone,notes
1,এমন দৃশ্য দেখলে জীবনের উপর যত অভিযোগ আছে তা নিমিষেই দূর হয়ে যায়😪,bengali,prothomalo,CON,CRI,PRO,grief + systemic concern
2,Video korecan jara.. Tarai to ektu kothor hoya take sahajjo kora jeto.. Sob manush ke osohaiotto dakhiya ki kollan?? Borong take ektu sahajjo korlei apni mohan hoya jeten..,romanized,prothomalo,PA,CRI,APO,criticizes videographer indirectly
3,আর তুমি চেয়ে চেয়ে ভিডিও করলে তাই তো?,bengali,prothomalo,SAR,TRO,IGN,sarcastic reply to videographer
4,যদিও কাজ টা জটিল। তারপরও বিতরণে আরও পেশাদারিত্বের অবকাশ রয়েছে..,bengali,prothomalo,CON,CRI,PRO,constructive criticism of distribution
5,বয়স্কভাতা বেশি বেশি দেওয়ার নিউজ করে সচেতনতা বাড়ান 🥹,bengali,prothomalo,CON,CRI,PRO,suggests awareness campaign
6,যে জিনিস দিতে পারবে না তা দেওয়ার প্রয়োজন নেই,bengali,prothomalo,GN,CRI,PRO,frustration at broken system
7,আমার তো মনে হচ্ছে তিন না খেয়ে হইলেও তারে খাবার দেই,bengali,prothomalo,GP,SUP,FRI,empathetic desire to help
8,রাষ্ট্র প্রধানের উচিৎ গরীব দুঃখী মানুষের পাশে দারানো।,bengali,prothomalo,CON,CRI,PRO,civic duty reminder
9,তাদের উচিত শুধু বৃদ্ধদের জন্য আলাদা একটি লাইন করে দেওয়া,bengali,prothomalo,CON,CRI,PRO,suggests separate elderly line
10,যাদের এগুলা প্রাপ্য তারাই আগে বঞ্চিত থাকে 😅,bengali,prothomalo,CON,CRI,PRO,sarcasm about deserving people left out
11,বৃদ্ধ শিশু গর্ভবতী নারী ও প্রতিবন্ধীদের জন্য জরুরী সেবা প্রদান নিশ্চিত করা না হলে আসলে তা কখনও সেবা হিসেবে গন্য হয়না,bengali,prothomalo,CON,CRI,PRO,policy criticism re vulnerable groups
12,ক্ষুদ্র রাজ্যে পৃথিবী গদ্যময়।,bengali,prothomalo,NEU,SUP,FRI,philosophical observation
13,ভোট দিবো কিসে🤣🤣,bengali,prothomalo,SAR,TRO,IGN,sarcastic about voting
14,সরকার এর পদক্ষেপ নেওয়া খুবই জরুরি মানুষই দেশ মানুষই পৃথিবী মানুষই ধর্ম।,bengali,prothomalo,CON,CRI,PRO,calls for government action
15,আমি আমার শহরে 8 তলা বাসার মালিককে টিসিবির পণ্য সংগ্রহ করতে দেখেছি লাইনে দাঁড়িয়ে থেকে। আর বৃদ্ধ মানুষটি কি অসহায় ভাবে তাকিয়ে আছে! এ লজ্জা রাখিব কোথায়!,bengali,prothomalo,ANG,CRI,PRO,angry at wealthy abusing TCB
16,অনেক আবেগঘন একটি প্রতিবেদন!! সাংবাদিকতা এবং দেশপ্রেমের এক অনন্য নিদর্শন।,bengali,prothomalo,GP,SUP,FRI,praises journalism
17,আপনারা ভিডিও করছেন ঠিক আছে এরপর একটু ব্যবস্থা করতেন।যদি করে থাকেন তাহলে ধন্যবাদ।,bengali,prothomalo,PA,CRI,PRO,polite but loaded media criticism
18,কেউ এই ভদ্র মহিলার সন্ধান দিতে পারবেন?,bengali,prothomalo,CON,QUE,PRO,asking for person contact
19,Rather than just posting you could have helped her or arrange her contact,english,prothomalo,PA,CRI,APO,could have helped instead of filming
20,ফ্যমেলি কাড তাহলে কে পেলো??,bengali,prothomalo,ANG,QUE,PRO,angry about family card
21,উনাকে কোথায় পাবো? প্লিজ কেউ চিনে থাকলে উনার তথ্য দিন প্লিজ. I want to help her 🙏🏻🙏🏻,mixed,prothomalo,NEU,QUE,PRO,criticism of aid distribution
22,৬০ বছরের বেশি বয়স হইলে কোন কিছুর মধ্যে বুড়ো লোকের লাইন লাগে না৷ বিদেশে সব জায়গায় ভিআইপি হিসাবে চলে যায়৷ আর বাংলাদেশের অবস্থা হলো গায়ের জোর যার বেশি সেই সব৷,bengali,prothomalo,ANG,CRI,PRO,angry at system failing poor
23,আমি আশাবাদী এই বিষয়ে যে সাংবাদিক নিউজ করার সাথে সাথে বৃদ্ধ মহিলাকে সাহায্য করেছেন।,bengali,prothomalo,NEU,CRI,PRO,sad and critical
24,Unar sathe jogajog korar kono way ace?,romanized,prothomalo,NEU,QUE,PRO,policy suggestion
25,বৃদ্ধ রা লাইন ছাড়া নিবে,bengali,prothomalo,NEU,CRI,PRO,angry at TCB subsidy misuse
26,সিনিয়র সিটিজেন দের আলাদা লাইন মেইনটেইন করলে এই ধরনের বিষয়ে আরো ভালোভাবে হ্যান্ডেল করার সুযোগ হবে,bengali,prothomalo,CON,CRI,PRO,systemic problem observation
27,"""The Prophet ﷺ said: He is not a believer whose stomach is filled while his neighbour goes hungry. Al-Adab Al-Mufrad 112""",english,prothomalo,GN,CRI,PRO,emotional distress about poverty
28,সাংবাদিক শুধু ভিডিও টা করলেন।,bengali,prothomalo,ANG,CRI,PRO,criticizes corrupt middlemen
29,দূর্বলরা সবসময়ই হেরে যায় সবলের কাছে.... এই সব মানুষের জন্য বিশেষ ব্যবস্হা নেওয়া দরকার..... যেন তারা অবহেলার শিকার না হয়...,bengali,prothomalo,CON,CRI,PRO,practical suggestion
30,ওনার সাথে যোগাযোগ করার সুযোগ আছে?,bengali,prothomalo,NEU,QUE,PRO,sad about elderly ignored
31,এই অসহায় মা এর কান্না আল্লাহ রহম করুন।,bengali,prothomalo,CON,CRI,FRI,angry about dealer corruption
32,এই একজনের না হয় নিলাম 😊😊।,bengali,prothomalo,CON,CRI,PRO,suggests reform
33,এর সাথে যোগাযোগ করার মাধ্যম আসে কি,bengali,prothomalo,NEU,QUE,PRO,asking about person shown
34,কোথায় এই ঘটনা? লাইনে দাঁড়িয়ে যা পেতো তার দ্বিগুণ আমি তাকে উপহার দিতে চাই উনার ঠিকানা কেউ জানলে বলুন প্লিজ,bengali,prothomalo,CON,QUE,PRO,concern about digital divide
35,এই বৃদ্ধ মহিলাকে আমি কিছু সাহায্য করতে চাই। ঠিকানা থাকলে দিবেন প্লিজ।,bengali,prothomalo,CON,QUE,PRO,helplessness about poverty
36,দয়া করে এই মহিলার নাম্বারটা দেন অথবা ঠিকানা দেন।,bengali,prothomalo,CON,QUE,PRO,sarcastic about development
37,যাদের সামর্থ্য আছে তারা দয়া করে এই মায়ের পাশে দাঁড়াবেন,bengali,prothomalo,CON,SUP,FRI,anger at system
38,বয়স যাদের ষাটোর্ধ তাদের জন্য কোন লাইন লাগবে না এমন আইন করা হোক,bengali,prothomalo,CON,COM,PRO,systemic concern
39,বৃদ্ধওবৃদ্ধাদের জন্য বিশেষ ব্যবস্থা গ্রহন করা উচিত!,bengali,prothomalo,GN,CRI,PRO,sadness about elderly poverty
40,উনার ইনফো দিতে পারবেন কেউ? যে ইনফো দিতে পারবেন তাকেও পুরস্কৃত করা হবে। ভিডিওটা দেখার পর থেকে অন্তরে শান্তি পাচ্ছি না।,bengali,prothomalo,CON,QUE,PRO,asks media to follow up
41,যোগাযোগ এর সুযোগ থাকলে জানাইয়ন,bengali,prothomalo,ANG,CRI,PRO,angry at politicians
42,আগে লাইনে দাঁড়ালে আগে আর পরে দাঁড়ালে পরে পাবে এই নিয়ম বাদ দিয়ে যারা বৃদ্ধ তাদের কে আগে দেয়া উচিৎ। আসলে আমাদের সিস্টেমে ভুল। এই বৃদ্ধা কে দেখে আমি আমার চোখের পানি ধরে রাখতে পারছি না। যিনি ভিডিও টি করেছিলেন তিনি নিজেই ওনাকে একটা ব্যাবস্থা করে দিতে পারতেন। আমাদের মধ্যে মনুষ্যত্ব কবে হবে?,bengali,prothomalo,GP,SUP,FRI,appreciates good work
43,একেই বলে মানবতা,bengali,prothomalo,NEU,QUE,PRO,neutral question
44,উনার ঠিকানা টা দিতে পারবেন,bengali,prothomalo,GN,CRI,PRO,criticism of food quality
45,নিশ্চয় কষ্টের পরে স্বস্তি আছে। উনার ঠিকানা দিবেন দয়া করে।,bengali,prothomalo,SAR,TRO,IGN,sarcastic about development claims
46,আমার নিজের জন্য তেমন বড় কোনো স্বপ্ন নেই।কিন্তু এমন অর্থের মালিক হতে চাই জেনো দুই হাত ভরে অসহায় মানুষদের সহযোগিতা করতে পারি।,bengali,prothomalo,CON,CRI,PRO,concern about future
47,Emon kaj kmne kore.. Ekta packet diya dile ki hoito?,mixed,prothomalo,ANG,CRI,PRO,angry rant
48,নিশ্চয়ই আল্লাহ যা করেন ভালোর জন্যই করেন হইতো এই ভিডিও বার্তায় তার অসহায়ত্ব সবার সামনে আসছে,bengali,prothomalo,GN,CRI,PRO,sadness and concern
49,Is there any way to connect with her? We might help her a bit if ALLAH blesses us to do so.,english,prothomalo,CON,CRI,PRO,systemic criticism
50,কারো সামর্থ থাকলে এই মানুষ টাকে সাহায্য করেন🥹,bengali,prothomalo,ANG,CRI,PRO,angry at politicians not helping
51,এমন দেশটি কোথাও খুঁজে পাবে নাকো তুমি😪,bengali,prothomalo,GN,CRI,PRO,sadness at situation
52,দয়া করে উনার সাথে যোগাযোগ ব্যবস্থা করে দিন!,bengali,prothomalo,CON,CRI,PRO,concern and suggestion
53,Uner kono khoj pawa gele janaben pls 🙏,romanized,prothomalo,NEU,SUP,FRI,neutral supportive
54,ভিডিওটা দেখে কেমন যেন নিজের অজান্তেই গভীরভাবে কষ্ট পেলাম 😓😓,bengali,prothomalo,ANG,CRI,PRO,angry at government failure
55,আমার ব্যক্তিগত একটি প্রশ্ন আছে এখানে। সাংবাদিক ভিডিও করেছে একজন দুস্থ অসহায় মানুষের দৃশ্য ধারণ করেছে। সাংবাদিকের উপস্থিতিতে একজন অসহায় মানুষ টিসিবির পণ্য পায়নি না পেয়ে ফিরে গিয়েছে। আর সাংবাদিক তাকে কোন প্রকারের সাহায্য ও সহযোগিতা না করে শুধুমাত্র দৃশ্য ধারণ করেছে।,bengali,prothomalo,GN,CRI,APO,sadness at poverty
56,অথচ আমরা এত কিছু পেয়েও সন্তুষ্ট না 😪,bengali,prothomalo,CON,CRI,PRO,systemic concern
57,হুম খুব ভালো লাগে যখন কোন সমস্যা হয় তখনি শুধু মেসেজ দেয় আর সেবা পাই,bengali,grameenphone,SAR,COM,APO,sarcastic only contacts when problems
58,Sim replacement এর জন্য কত টাকা লাগবে,bengali,grameenphone,NEU,QUE,PRO,sim replacement fee query
59,খুব সুন্দর,bengali,grameenphone,GP,SUP,FRI,simple praise
60,চমৎকার,bengali,grameenphone,GP,SUP,FRI,simple praise
61,Sim replacement fee? Kto ekhn gp care e,romanized,grameenphone,NEU,QUE,PRO,sim replacement query
62,শুনে ভালো লাগলো,bengali,grameenphone,GP,SUP,FRI,positive reaction
63,Ai manush gulor jonno onek bhalobasha,romanized,grameenphone,GP,SUP,FRI,sends love to workers
64,বিশেষ ধন্যবাদ আমাদের গ্রামীণফোন সমস্ত কর্মীদের আল্লাহ তাআলা ভাল রাখুন,bengali,grameenphone,GP,SUP,FRI,thanks and prayer for staff
65,গাজীপুরে চৌরাস্তায় আপনাদের অফিস কোথায়,bengali,grameenphone,NEU,QUE,PRO,office location query
66,গ্রামীণফোন প্রথম গ্রামীণফোন সেরা,bengali,grameenphone,GP,SUP,FRI,brand loyalty praise
67,Customer Services is successful when customers are satisfied,english,grameenphone,GP,SUP,FRI,generic customer service praise
68,মানিকগঞ্জ সদর কোথায় অফিস,bengali,grameenphone,NEU,QUE,PRO,office location query
69,যৌবনের প্রথম পথচলা গ্রামিন সিমের সাথে সেই ২০১৩ সাল থেকে এখনো একটাই নিয়ে আছি,bengali,grameenphone,GP,SUP,FRI,long-term loyalty story
70,আমার পোস্টপেইড সিম টা ই-সিম করতে চাই চার্য এবং কন্ডিশন প্লিজ ডিটেইলস,bengali,grameenphone,NEU,QUE,PRO,esim query
71,অসংখ্য ধন্যবাদ গ্রামীণ ফোন কে,bengali,grameenphone,GP,SUP,FRI,thank you
72,গ্ৰাহকের সমস্যা সমাধান করার জন্য ধন্যবাদ,bengali,grameenphone,GP,SUP,FRI,thanks for solving problem
73,একটা সময় আমি ও Genex Infosys এ কাজ করতাম। ইফতার নিয়ে বসেছি ঠিক তখনই কল চলে আসত। শরীর ক্লান্ত থাকলেও প্রতিটি কল সমান গুরুত্বের সাথে রিসিভ করতাম,bengali,grameenphone,GN,SUP,APO,bittersweet call center memory iftaar interrupted
74,Khub miss kori jaiga te ke onak ta somoi par koresi ai jaigai onak memory ase,romanized,grameenphone,GN,SUP,APO,nostalgic mixed feelings
75,Genex e Chilam amio kono ek somoy,romanized,grameenphone,GP,SUP,FRI,nostalgia for old workplace
76,আহ সেই মুড়ি মাখা,bengali,grameenphone,GP,SUP,FRI,nostalgic about muri makha
77,Missing those days,english,grameenphone,GN,SUP,APO,missing old days
78,আহা সেই কল সেন্টারের দিনগুলো। রোজার ইফতারের মাঝখানেও কল। ঈদের দিনেও ছিলো ডিউটি,bengali,grameenphone,GN,SUP,APO,bittersweet call center memory
79,My ex workplace,english,grameenphone,GP,SUP,FRI,nostalgic about old workplace
80,Live chat kivabe kore?,romanized,grameenphone,NEU,QUE,PRO,live chat query
81,বাহ চমৎকার,bengali,grameenphone,GP,SUP,FRI,praise
82,শুভকামনা রইল,bengali,grameenphone,GP,SUP,FRI,good wishes
83,পুরো গান কবে আপলোড দিবেন,bengali,grameenphone,NEU,QUE,PRO,asking when full song uploads
84,বাহ অসাধারণ,bengali,grameenphone,GP,SUP,FRI,praise
85,গান টা অনেক সুন্দর,bengali,grameenphone,GP,SUP,FRI,song appreciation
86,গ্রামীন কোম্পানি এই গানটা কিন্তু সুন্দর বানিয়েছে,bengali,grameenphone,GP,SUP,FRI,song praise
87,সব ঠিক আছে তবে মেয়াদ টা একটু বারালে ভালো হতো,bengali,grameenphone,CON,CRI,PRO,validity too short mild criticism
88,মেয়াদ কম হয়ে গেছে ৩০ দিন হলে ভালো হতো,bengali,grameenphone,CON,CRI,PRO,validity too short
89,সাত দিন মেয়াদ না দিয়ে এক মাসের মেয়াদ দিলেই তো পারেন,bengali,grameenphone,CON,CRI,PRO,requests 30-day validity
90,৩০ দিন করলে ভালো হবে,bengali,grameenphone,CON,CRI,PRO,requests 30-day validity
91,কতদিন থাকবে এই অফার,bengali,grameenphone,NEU,QUE,PRO,offer duration query
92,মেয়াদ বাড়ালে ভালো হতো,bengali,grameenphone,CON,CRI,PRO,validity too short
93,এই গানটা শুনলে আমার কান্না আসে। আমার স্বামী প্রবাসে থাকে। মনে হয় আমার স্বামী ও যদি এভাবে আমাদের কাছে আসত,bengali,grameenphone,GN,SUP,APO,emotional husband abroad song touches heart
94,প্রশান্তির সুর,bengali,grameenphone,GP,SUP,FRI,music praise
95,পুরো গানের অপেক্ষায় দেশবাসী,bengali,grameenphone,GP,SUP,FRI,waiting for full song
96,প্রবাসীদের ঈদ বলতে কিছুই নেই আমরা চাই একটু ফ্যামিলির সাথে ঈদ উদযাপন করতে কিন্তু সেটা আমাদের কপালে হয় না,bengali,grameenphone,GN,SUP,APO,overseas worker missing family eid
97,১৫ বছর ধরে আমাদের রক্ত চুষছে গ্রামীণফোন! ১৫ বছর ধরে আটকে রেখেছে ৫% পেনাল্টি টাকা। শান্তিপূর্ণ আন্দোলনে পুলিশ দিয়ে হামলা চালিয়ে গ্রেপ্তার করেছে ১১ জনকে,bengali,grameenphone,ANG,COM,APO,15 years of overcharging angry complaint
98,grameenphone er mongolbar mane mela er iPhone campaign e ke bijoyee holo,romanized,grameenphone,NEU,QUE,PRO,campaign winner query
99,অন্য নাম্বারের সাথে মিল রেখে কাস্টমাইজড করে কি সিম নেওয়া যাবে,bengali,grameenphone,NEU,QUE,PRO,customized sim query
100,ধন্যবাদ gp,mixed,grameenphone,GP,SUP,FRI,thank you GP
101,Eid er amej a grameenphone,romanized,grameenphone,GP,SUP,FRI,eid vibe with GP
102,না না,bengali,grameenphone,NEU,SUP,FRI,brief neutral reaction
103,চমৎকার সুযোগ,bengali,grameenphone,GP,SUP,FRI,great opportunity
104,নামাজ পরুন,bengali,grameenphone,NEU,CRI,PRO,reminder to pray off-topic
105,আমার শপিং মলে আছে এই অফার আর আমি নিজে এগুলো সেল করি,bengali,shajgoj,GP,SUP,FRI,sells their products himself
106,Offer ta ki offline a pawya jabe?,romanized,shajgoj,NEU,QUE,PRO,offline availability query
107,Apnader delivery charge koto Dhakar baire,romanized,shajgoj,NEU,QUE,PRO,delivery charge query
108,BSTI অনুমোদন আছে তো নাকি গোপন গোডাউনে তৈরী করা হয়।,bengali,shajgoj,CON,QUE,PRO,asks about BSTI approval concern
109,কিছু দিন আগে ২০০ টাকা দিয়ে কিনলাম।,bengali,shajgoj,GN,COM,APO,bought recently at higher price
110,Apu innseai low pH micellar water Kobe stock e anben,romanized,shajgoj,NEU,QUE,PRO,stock availability query
111,কয় দিনের মধ্যে হাতে পাবো,bengali,shajgoj,NEU,QUE,PRO,delivery time query
112,চারটা নিলে কত পড়বে,bengali,shajgoj,NEU,QUE,PRO,bulk price query
113,ডেলিভারি চার্জ কতো,bengali,shajgoj,NEU,QUE,PRO,delivery charge query
114,Delivery charge free den,romanized,shajgoj,CON,CRI,PRO,requests free delivery
115,নিয়েছি অনেক ভালো প্রোডাক্ট,bengali,shajgoj,GP,SUP,FRI,good product review
116,Delivery charge 100 taile jai sai,romanized,shajgoj,GN,COM,APO,delivery charge too high
117,আপনাদের শোরুমে গেলে পাওয়া যাবে খুলনা খালিশপুর,bengali,shajgoj,NEU,QUE,PRO,showroom location query
118,এই বার কোনো গিফট পাই নাই,bengali,shajgoj,GN,COM,APO,no gift received this time
119,Ei offer ta ki ekhono ache??,romanized,shajgoj,NEU,QUE,PRO,offer still available query
120,Dhaka delivery charg koto,romanized,shajgoj,NEU,QUE,PRO,delivery charge query
121,কি ভাবে অডার কনফার্ম করব,bengali,shajgoj,NEU,QUE,PRO,order confirmation query
122,ক্যাশ অন ডেলিভারি হবে?,bengali,shajgoj,NEU,QUE,PRO,cash on delivery query
123,Offer ki outlet e gele pabo?,romanized,shajgoj,NEU,QUE,PRO,outlet availability query
124,রংপুরের আউটলেট কোথায়,bengali,shajgoj,NEU,QUE,PRO,outlet location query
125,ডেলিভারি কবে পাবো?,bengali,shajgoj,NEU,QUE,PRO,delivery date query
126,Delivery koto dhaka te,romanized,shajgoj,NEU,QUE,PRO,delivery charge query
127,ডেলিভারি চার্জ কত,bengali,shajgoj,NEU,QUE,PRO,delivery charge query
128,থাক এমনি দোকানে ২০০ দিয়ে পাওয়া যায় ৫০ টাকা কমাতে গিয়ে ডেলিভারি চার্জ ৭০ দেওয়া বিলাসিতা,bengali,shajgoj,SAR,COM,APO,delivery charge defeats discount sarcastic
129,অফার দেয়নি আমাকে।,bengali,shajgoj,GN,COM,APO,not given the offer
130,Keo ki Bolte parben kon flavour ta beshi Valo r strong?,romanized,shajgoj,NEU,QUE,PRO,product recommendation query
131,Vaiya offer ta ki aca akn o,romanized,shajgoj,NEU,QUE,PRO,offer availability query
132,165tk diye kinlm duidin age,romanized,shajgoj,GN,COM,APO,bought few days ago at higher price
133,বডি ওয়াশ ১৪৯ টাকায় আর ডেলিভারি চার্জ ১৫০ টাকা,bengali,shajgoj,SAR,COM,APO,product 149 delivery 150 sarcastic irony
134,ডেলিভারি চার্জ ফ্রি দিবেন,bengali,shajgoj,CON,CRI,PRO,requests free delivery
135,নিব কিভাবে,bengali,shajgoj,NEU,QUE,PRO,how to order query
136,Dhakai delivery charge koto,romanized,shajgoj,NEU,QUE,PRO,delivery charge query
137,অনেক ভালো আমি সবসময় ব্যবহার করি,bengali,shajgoj,GP,SUP,FRI,always uses product loyal customer
138,Delivery charge koto?,romanized,shajgoj,NEU,QUE,PRO,delivery charge query
139,Apnader showroom kothay?,romanized,shajgoj,NEU,QUE,PRO,showroom location
140,Offer ta ki available ase??,romanized,shajgoj,NEU,QUE,PRO,offer availability
