comment,true_emotion,pred_emotion,confidence,correct,category
গাজা খায় কিনা সেটা সিউর না বাট বাবা খায় এটা সিউর,SAR,GP,0.537,False,DOMAIN_INSULT
Ai bedire dekhle aamr bumi ashe,ANG,GP,0.536,False,CODE_MIX
তোমাকে দেখলেই নেশাখোর মনে হয়,GN,GP,0.536,False,DOMAIN_INSULT
তুমি গাঁজা না খেলেও ছেলে খাস,SAR,GP,0.536,False,DOMAIN_INSULT
"""The Prophet ﷺ said: He is not a believer whose stomach is filled while his neighbour goes hungry. Al-Adab Al-Mufrad 112""",GN,GP,0.536,False,LABEL_ERROR
তানজিন তিশার চেহারা খারাপ হয়েছে এতে বোঝা যায় সে কিছু একটা নেশা করে,GN,GP,0.536,False,DOMAIN_INSULT
দেখলে মনে হয় সবাই এক সাথে গাঁজা খায়,SAR,GP,0.535,False,DOMAIN_INSULT
অন্য নাম্বারের সাথে মিল রেখে কাস্টমাইজড করে কি সিম নেওয়া যাবে,NEU,GP,0.535,False,GP_BIAS
পাশের সবাই পেইড এটা বুঝায় যাচ্ছে তার চেহারা দেখে এটাও বুঝা যায় সে কত বড় গাজা খোর।,SAR,GP,0.535,False,DOMAIN_INSULT
আমি একটা গলায় কিক বানাতে চাই স্বর্ণের ডিজাইন কত টাকা পড়বে,CON,GP,0.535,False,GP_BIAS
এখানে যদি বাংলাদেশ ব্যাটিং করতো তাহলে আমরা কি বলতাম?,CON,GP,0.534,False,AMBIGUOUS
সেই গদবাধা লুক আর একশনের মারপ্যাচের কাহিনি। রিয়েল কাহিনির raw Feel দিতে পেরেছে আফরান নিশোর দম সিনেমার টিজার।,GN,GP,0.534,False,GP_BIAS
গাদ্দার ইউনুস,ANG,GP,0.534,False,GP_BIAS
আপনারা দুই নাম্বারের ব্যবসা শুরু করছেন,ANG,GP,0.534,False,GP_BIAS
এমন দৃশ্য দেখলে জীবনের উপর যত অভিযোগ আছে তা নিমিষেই দূর হয়ে যায়😪,CON,GP,0.534,False,GP_BIAS
অর্ডার করলাম আজকে দুইদিন কোন ফোনও পাইলাম না অর্ডার টা কি কনফার্ম হইলো কিনা তাও জানলাম না,ANG,GP,0.534,False,GP_BIAS
দুইবার অর্ডার দিছি প্যান্ট এখনো পাই নাই,ANG,GP,0.534,False,GP_BIAS
আপু আপনার কয়টা বাচ্চা,NEU,GP,0.534,False,GP_BIAS
Hindi serial er bgm lagay dilo last 10 sec e!😂,SAR,GP,0.534,False,SAR_NO_EMOJI
আহা কি সাধু ডিরেক্টর রমজান মাস আহা। সেটের মধ্যে ঝামেলা মিটাইতে পারলেন না কিসের ডিরেক্টর তুমি,GN,GP,0.534,False,GP_BIAS
আজকের এই দৃশ্য কি হাসু আপা দেখতেছে 😁,ANG,GP,0.534,False,GP_BIAS
সব গুলই খড় লাগাসে,GN,GP,0.534,False,GP_BIAS
Sharmin Bithi sir apnk onk respect kori...apni last e jeta korlen bnp k...vote Engineering kore...july biplobi andon karider ki hobe ekbar o ki vebe dekhecen,PA,GP,0.534,False,CODE_MIX
নামাজ পরুন,NEU,GP,0.534,False,GP_BIAS
বয়স্কভাতা বেশি বেশি দেওয়ার নিউজ করে সচেতনতা বাড়ান 🥹,CON,GP,0.534,False,GP_BIAS
আপু জামার রং বুঝতে পারচিনা,CON,GP,0.534,False,GP_BIAS
এইসব চাকরিতে স্টার্টিং এ বেতন কতো?,NEU,GP,0.533,False,AMBIGUOUS
লুক ভালো লাগলো না বস 🙂 তুফান এর লুক টা কড়া ছিলো 🫶😎,GN,GP,0.533,False,GP_BIAS
এই মেয়েটা নষ্ট হয়ে গেছে একটা সময় অনেক পছন্দ করতাম কিন্তু এখন তাকে বিভিন্ন স্ক্যান্ডালে জড়িয়ে পরতে দেখছি,GN,GP,0.533,False,GP_BIAS
আমি ফ্রি নিতে চাই,NEU,GP,0.533,False,GP_BIAS
৩০ দিন করলে ভালো হবে,CON,GP,0.533,False,GP_BIAS
Mahathir Mohammed tor okater bayre,SAR,GP,0.533,False,SAR_NO_EMOJI
"টিজার জমলো না, ঘুরিয়ে প্যাচিয়ে মনে হচ্ছে সেই তুফানের টিজারই দেখলাম..",GN,GP,0.533,False,GP_BIAS
দেশটাকে 50 বছর পিছিয়ে দিয়ে গেলেন,ANG,GP,0.533,False,GP_BIAS
বৃদ্ধ শিশু গর্ভবতী নারী ও প্রতিবন্ধীদের জন্য জরুরী সেবা প্রদান নিশ্চিত করা না হলে আসলে তা কখনও সেবা হিসেবে গন্য হয়না,CON,GP,0.533,False,GP_BIAS
"আহ জীবন, কোনো নিসচয়তা নেই।",GN,GP,0.533,False,GP_BIAS
"Vai apnara ay exam diyan na,,ata akta faltu cakri,,ara bola akta kora r akta,,ader kono sothek noiyom nai,,kothar o thek nai",ANG,GP,0.533,False,CODE_MIX
মাত্র হাতে পেলাম অনেক সুন্দর একটা প্রোডাক্ট,NEU,GP,0.533,False,GP_BIAS
বিস্তারিত ঠিকানা ফোন নাম্বার দিলে ভালো হত।,CON,GP,0.533,False,GP_BIAS
আহা সেই কল সেন্টারের দিনগুলো। রোজার ইফতারের মাঝখানেও কল। ঈদের দিনেও ছিলো ডিউটি,GN,GP,0.533,False,GP_BIAS
Joke of the year,SAR,GP,0.533,False,SAR_NO_EMOJI
ata ki available please reply dear,NEU,GP,0.533,False,GP_BIAS
এত গুলা হত্যার একটাও বিচার করলেন না।,ANG,GP,0.533,False,GP_BIAS
মিডিয়ার সবগুলোই নেশাখোর,GN,GP,0.533,False,DOMAIN_INSULT
বইন তুই মাল খুর বহু আগের থিকা ই,SAR,GP,0.532,False,SAR_NO_EMOJI
মুরুব্বি সমাজের গান 😂,SAR,GP,0.532,False,SAR_NO_EMOJI
"শাহাবুদ্দিন চুপ্পু অনেকটা পানির মতো, যার নিজস্ব কোনো রং নাই, যে পাত্রে যায় তার রং ধারণ করে",SAR,GP,0.532,False,SAR_NO_EMOJI
"পোস্ট একটা দিলেন, মানে দেয়ার দরকার তাই দিলেন। স্থানীয় জনসাধারণের মতে ঐ রুটে নৌবাহিনী গাড়ি গুলো অত্যন্ত রাফলি চালায়। সেটা নিয়ে তো কিছু বললেন না।",PA,GP,0.532,False,CULTURAL
তো দেশ এখন মেট্রোরেল হইছে ভূ---------ম সেই গতি,SAR,GP,0.532,False,SAR_NO_EMOJI
তাদের উচিত শুধু বৃদ্ধদের জন্য আলাদা একটি লাইন করে দেওয়া,CON,GP,0.532,False,GP_BIAS
কাকু দেশের মানুষের টাকায় যে তুমি গ্রামীন ব্যাংকের কর মওকুফ করে দিলা এখন দেশের মানুষের কি হবে,ANG,GP,0.532,False,GP_BIAS
"কতো টাকা দালালি খেয়ে ভিডিওটা পাবলিশ করছো?? তোমার দালালির কারণে কতো মানুষের পকেট কাটা যাবে, সেটা কি একবার ভাবছো??",ANG,GP,0.532,False,GP_BIAS
অথচ আমরা এত কিছু পেয়েও সন্তুষ্ট না 😪,CON,GP,0.532,False,GP_BIAS
Apu tmr moto amr uporar layer ta hy nh kno,CON,GP,0.532,False,CODE_MIX
শেষ ভালো যার সব ভালো তার আপনার শেষটা ভালো ছিলোনা বিশেষ করে নির্বাচন টা,GN,GP,0.532,False,GP_BIAS
শোরুম কোথায়?,NEU,GP,0.532,False,AMBIGUOUS
That was brilliant run out? Seriously,SAR,GP,0.532,False,SAR_NO_EMOJI
দলীয় মতভেদ থাকবেই তার মানে এই নয় যে সবার কথাই ভিত্তিহীন। নতুন বাংলাদেশ বিনির্মানের প্রত্যাশায় সবার জন্য শুভ কামনা,ANG,GP,0.532,False,GP_BIAS
ডেলিভারি চার্জ কত,NEU,GP,0.532,False,GP_BIAS
এত বড় একটা মেশিন গান এক হাতে লইয়া যাইতাচে কি শক্তি😂😂😂😂,SAR,GP,0.532,False,SAR_NO_EMOJI
থাক এমনি দোকানে ২০০ দিয়ে পাওয়া যায় ৫০ টাকা কমাতে গিয়ে ডেলিভারি চার্জ ৭০ দেওয়া বিলাসিতা,SAR,GP,0.532,False,SAR_NO_EMOJI
Brothers are separated after only second match,SAR,GP,0.532,False,SAR_NO_EMOJI
মানুষ গো এভাবে ঠকায় না বুঝছেন,ANG,GP,0.532,False,GP_BIAS
সব দেশে নাকি শুধু বাংলাদেশে,CON,GP,0.532,False,GP_BIAS
"We lost you because of some selfish people, but my respect for you will always remain in my heart",GN,GP,0.532,False,GP_BIAS
Vai Dinajpur a kotai exam hoi janan kau?,NEU,GP,0.532,False,AMBIGUOUS
১১ বছর বাচ্চা ইউজ করতে পারবে?,NEU,GP,0.532,False,AMBIGUOUS
এখানে হায়াতের কথা তুলবো নাকি এইযে অনিরাপদ ব্যবস্থাপনা?,CON,GP,0.532,False,AMBIGUOUS
ফ্যাসিবাদের পথে চলেন না,ANG,GP,0.532,False,GP_BIAS
আমি এই অফারটা নিতে চাচ্ছি। তো আমার প্রশ্ন হলো ১২৯৯ টাকায় ৮+৮= ১৬ পিস ক্রিস্পি বাকেট পাবো। এখন আমি এই অফারটা নিলে কি ১২৯৯ টাকার দুইটা বাকেট পাবো মানে ১৬+১৬ টোটাল ৩২ টা। আমাকে ক্লিয়ার করেন।,NEU,GP,0.532,False,GP_BIAS
আগামীকাল বৃহস্পতিবার ১৯ তারিখ কি কোন লিখিত ভাইভা পরীক্ষা আছে? পদের নাম সাব এসিস্ট্যান্ট ইঞ্জিনিয়ার ডিপ্লোমা ইন কম্পিউটার।,NEU,GP,0.532,False,AMBIGUOUS
Ki ki thakbe?,NEU,GP,0.531,False,AMBIGUOUS
বিএনপি এককালীন ক্ষমতায় থাকতে চাচ্ছেন এজন্য সংস্কার সংবিধানে সাইন করছে না আওয়ামীলীগ কপি।,ANG,GP,0.531,False,GP_BIAS
Uner kono khoj pawa gele janaben pls 🙏,NEU,GP,0.531,False,CODE_MIX
Two cunning brothers playing a cunning cricket match,SAR,GP,0.531,False,SAR_NO_EMOJI
৬০ বছরের বেশি বয়স হইলে কোন কিছুর মধ্যে বুড়ো লোকের লাইন লাগে না৷ বিদেশে সব জায়গায় ভিআইপি হিসাবে চলে যায়৷ আর বাংলাদেশের অবস্থা হলো গায়ের জোর যার বেশি সেই সব৷,ANG,GP,0.531,False,GP_BIAS
Pakistani team was doing drama in t20 world cup for bangladesh,GN,GP,0.531,False,GP_BIAS
আপনাদের এই পেইজটি কি অফিসিয়াল।,NEU,GP,0.531,False,GP_BIAS
বাবা খাইছে এটা বুঝা যাচ্ছে,SAR,GP,0.531,False,SAR_NO_EMOJI
Mane ki 149 tk 2 ta?,NEU,GP,0.531,False,AMBIGUOUS
পাকিস্তানের প্লেয়ারের চাইতে একটা দর্শক ক্রিকেট খেলার নিয়ম সম্বন্ধে ভালো জানে,SAR,GP,0.531,False,SAR_NO_EMOJI
Kivabe kombo make korbo,NEU,GP,0.531,False,CODE_MIX
2ta nile ki 499tk ? bujhinai bisoita!,NEU,GP,0.53,False,CODE_MIX
বাটপারি 😗,GN,GP,0.53,False,GP_BIAS
ছোটলোক!,ANG,GP,0.53,False,GP_BIAS
And they criticized Ashwin,SAR,GP,0.53,False,SAR_NO_EMOJI
6/7 ta dress nibo apo,NEU,GP,0.53,False,CODE_MIX
Compared with many other cricket-playing nations Bangladesh sometimes approaches the game in an unsportsmanlike manner lacking discipline traditionally associated with cricket.,SAR,GP,0.53,False,CODE_MIX
Unemployment rate in Bangladesh at its peak,SAR,GP,0.53,False,SAR_NO_EMOJI
ডেলিভারি চার্জ কত সারা দেশে?,NEU,GP,0.53,False,AMBIGUOUS
কেমনে সম্ভব ৯৯ টাকায়?,CON,GP,0.529,False,AMBIGUOUS
